1.524948 0.000000  -0.137797  -0.130667  -0.122069  -0.102858  3.579028  4.964721  4.996013  5.103891  5.182177  5.229092
1.536848 0.000000  -0.140490  -0.131946  -0.109062  -0.085932  3.573955  4.920474  4.950969  5.068288  5.143695  5.173962
1.548748 0.000000  -0.143511  -0.121878  -0.095565  -0.070204  3.568886  4.878659  4.908070  5.034419  5.106210  5.116152
1.560648 0.000000  -0.137960  -0.110504  -0.082558  -0.056300  3.563901  4.839470  4.867606  5.002475  5.060354  5.070582
1.572548 0.000000  -0.127402  -0.098966  -0.070422  -0.044408  3.559079  4.803085  4.829872  4.972621  5.007715  5.037007
1.584448 0.000000  -0.113987  -0.087674  -0.059483  -0.034640  3.554505  4.769660  4.795178  4.945004  4.958774  5.005861
1.596348 0.000000  -0.099619  -0.076545  -0.049851  -0.026966  3.550260  4.739345  4.763846  4.914032  4.919821  4.977457
1.608248 0.000000  -0.086422  -0.065089  -0.041524  -0.021279  3.546415  4.712301  4.736189  4.874091  4.897140  4.952152
1.620148 0.000000  -0.076245  -0.053415  -0.034449  -0.017225  3.543041  4.688723  4.712476  4.839348  4.877242  4.930298
1.632048 0.000000  -0.069524  -0.043891  -0.027973  -0.014014  3.540200  4.668859  4.692910  4.810250  4.860370  4.912185
1.643948 0.000000  -0.066096  -0.039320  -0.021796  -0.010286  3.537936  4.652994  4.677616  4.787183  4.846819  4.898002
1.655848 0.000000  -0.066259  -0.038776  -0.017524  -0.005524  3.536293  4.641415  4.666663  4.770463  4.836885  4.887845
1.667748 0.000000  -0.066694  -0.039429  -0.015374  -0.001497  3.535294  4.634362  4.660083  4.760332  4.830815  4.881749
1.679648 0.000000  -0.065442  -0.039728  -0.014721  0.000000  3.534959  4.631993  4.657888  4.756938  4.828773  4.879717
1.679648 0.000000  -0.065687  -0.040544  -0.015211  -0.002231  3.535305  4.635593  4.659491  4.760630  4.829929  4.882531
1.691610 0.000000  -0.066504  -0.043510  -0.017361  -0.007184  3.536333  4.645987  4.664579  4.771647  4.833220  4.891092
1.703572 0.000000  -0.067973  -0.050041  -0.022231  -0.010830  3.538021  4.660649  4.675326  4.789815  4.838231  4.905652
1.715534 0.000000  -0.070422  -0.059783  -0.027701  -0.012762  3.540317  4.673632  4.697138  4.814803  4.844594  4.926399
1.727495 0.000000  -0.074531  -0.068789  -0.032844  -0.014367  3.543166  4.685493  4.728789  4.845121  4.853164  4.953329
1.739457 0.000000  -0.081116  -0.075021  -0.038558  -0.016163  3.546489  4.698172  4.767575  4.859039  4.885159  4.986248
1.751419 0.000000  -0.089170  -0.080681  -0.045524  -0.018259  3.550197  4.711977  4.812216  4.868449  4.928414  5.024819
1.763381 0.000000  -0.098259  -0.086694  -0.054095  -0.020708  3.554192  4.726888  4.859457  4.881375  4.976961  5.068590
1.775343 0.000000  -0.108381  -0.092817  -0.064354  -0.023565  3.558361  4.742845  4.883826  4.922852  5.030089  5.117026
1.787305 0.000000  -0.119538  -0.098966  -0.076218  -0.026803  3.562598  4.759802  4.895958  4.981705  5.087162  5.169472
1.799267 0.000000  -0.130667  -0.105688  -0.089225  -0.030449  3.566785  4.777728  4.907938  5.045290  5.147516  5.225111
1.811229 0.000000  -0.139211  -0.114123  -0.101905  -0.034449  3.570821  4.796597  4.920540  5.112253  5.210406  5.282700
1.823191 0.000000  -0.145688  -0.124708  -0.111973  -0.038776  3.574606  4.816384  4.933909  5.181832  5.274787  5.339236
1.835153 0.000000  -0.153797  -0.133062  -0.119048  -0.043429  3.578056  4.837060  4.948090  5.253244  5.337337  5.373754
1.847114 0.000000  -0.155293  -0.137497  -0.123021  -0.048272  3.581106  4.858585  4.963087  5.323081  5.338662  5.392782
1.859076 0.000000  -0.150205  -0.140028  -0.123538  -0.053252  3.583708  4.880911  4.978883  5.297944  5.377286  5.395000
1.871038 0.000000  -0.146858  -0.138749  -0.121606  -0.058313  3.585836  4.903978  4.995441  5.262395  5.352488  5.365462
1.883000 0.000000  -0.145633  -0.133252  -0.118341  -0.063320  3.587485  4.927713  5.012699  5.229889  5.322404  5.336121
1.894962 0.000000  -0.143973  -0.126776  -0.114558  -0.068164  3.588668  4.952025  5.030574  5.201029  5.292855  5.310692
1.906924 0.000000  -0.142259  -0.120463  -0.110803  -0.072762  3.589422  4.976807  5.048933  5.176199  5.266012  5.288948
1.918886 0.000000  -0.140953  -0.114885  -0.107456  -0.076953  3.589798  5.001916  5.067594  5.155753  5.242852  5.271059
1.930848 0.000000  -0.140082  -0.110586  -0.104654  -0.080708  3.589860  5.027162  5.086250  5.140112  5.223941  5.257345
1.942810 0.000000  -0.139538  -0.108028  -0.102368  -0.083946  3.589675  5.052256  5.104103  5.130133  5.209709  5.248115
1.954772 0.000000  -0.139021  -0.107483  -0.100381  -0.086912  3.589324  5.076713  5.116299  5.130729  5.200547  5.243584
1.966733 0.000000  -0.137552  -0.108572  -0.098939  -0.089932  3.588875  5.099521  5.119709  5.145372  5.196847  5.243764
1.978695 0.000000  -0.132599  -0.110640  -0.098776  -0.092681  3.588402  5.117728  5.127720  5.162664  5.199007  5.248216
1.990657 0.000000  -0.127756  -0.113225  -0.101225  -0.093470  3.587966  5.130174  5.142640  5.180194  5.207337  5.255492
2.002619 0.000000  -0.127347  -0.117171  -0.103892  -0.092898  3.587615  5.142748  5.157943  5.197045  5.221309  5.260156
2.014581 0.000000  -0.131402  -0.123402  -0.104463  -0.092218  3.587389  5.152653  5.175927  5.211157  5.230297  5.244352
2.026543 0.000000  -0.133552  -0.127565  -0.104381  -0.091919  3.587311  5.156057  5.194841  5.205756  5.221802  5.252406
2.026543 0.000000  -0.131919  -0.123320  -0.103293  -0.091538  3.587316  5.144351  5.163442  5.204566  5.242354  5.251922
2.038601 0.000000  -0.134803  -0.113334  -0.100681  -0.089497  3.587330  5.106544  5.148471  5.178479  5.235865  5.260861
2.050660 0.000000  -0.137143  -0.107402  -0.097796  -0.084218  3.587354  5.069080  5.129323  5.155938  5.225532  5.254537
2.062718 0.000000  -0.135728  -0.105225  -0.094858  -0.077116  3.587395  5.036392  5.107127  5.137559  5.212409  5.251519
